Timestamp,user_email,restaurant_name,Restaurant Yelp Link (not required),user_restaurant_cuisine,user_occasion,user_num_times_visited,user_rating,user_price_rating,user_meal_size,user_attributes,user_meal_type
2/23/2024 9:30:03,test_user@gmail.com,Ugly Baby,,Thai,"Dinner with a Friend, Wanted to try something new",1,4.8,$$ ($11-$30/person),Full Meal,,Dinner
2/26/2024 9:05:15,test_user@gmail.com,4 Charles Prime Rib,,American,"Celebration(birthday, graduation, etc.), Fine Dining",1,4.8,$$$$ (>$61/person),Full Meal,,Dinner
2/26/2024 9:05:51,test_user@gmail.com,Jungsik,,Korean,Fine Dining,1,5,$$$$ (>$61/person),Full Meal,,Dinner
2/26/2024 9:06:34,test_user@gmail.com,Claud,,European,"Dinner with a Friend, Celebration(birthday, graduation, etc.)",3,4.85,$$$$ (>$61/person),Full Meal,,Diner
2/26/2024 9:07:40,test_user@gmail.com,Breakfast by Salt's Cure,,Brunch,Regular(you visit often or are a frequent customer),3,4.25,$$ ($11-$30/person),Full Meal,,"Breakfast, Brunch"
2/26/2024 9:08:18,test_user@gmail.com,Restaurant Yuu,,Japanese French,Fine Dining,1,4.75,$$$ ($31-$60/person),Full Meal,,Dinner
2/26/2024 9:08:43,test_user@gmail.com,Lord's,,British,"Dinner with a Friend, Celebration(birthday, graduation, etc.)",1,4.8,$$$ ($31-$60/person),Full Meal,,Dinner
2/28/2024 13:32:26,test_user@gmail.com,House of Joy,,Dim Sum,"Celebration(birthday, graduation, etc.)",1,4.65,$$ ($11-$30/person),Full Meal,,"Brunch, Lunch, Dinner"
3/1/2024 17:18:13,test_user@gmail.com,Magnolia Bakery,,Bakery,"Celebration(birthday, graduation, etc.)",2,3,$$ ($11-$30/person),"Dessert (ex. cake, ice cream, etc.)",,Dessert
3/1/2024 17:19:39,test_user@gmail.com,Murray's Bagels,,"Breakfast & Brunch, Bagels",Regular(you visit often or are a frequent customer),5+,3.75,$ (<$10/person),Small meal (Appetizer-like portion),,Breakfast
3/1/2024 17:24:53,test_user@gmail.com,Via Carota ,,"European, Italian","Meal with a Friend, Fine Dining",4,4.5,$$$ ($31-$60/person),Full Meal,,"Lunch, Dinner"
3/1/2024 17:26:05,test_user@gmail.com,Momoya (Chelsea),,"Japanese, Sushi",Meal with a Friend,1,3.25,$$$ ($31-$60/person),Full Meal,,Dinner
3/1/2024 17:27:01,test_user@gmail.com,Morandi,,Italian,Meal with a Friend,2,3.75,$$$ ($31-$60/person),Full Meal,,Lunch
3/1/2024 17:27:55,test_user@gmail.com,Lombardi's Pizza,,"Italian, Pizza",Takeout,1,3.5,$$ ($11-$30/person),Full Meal,,"Lunch, Dinner"
3/1/2024 17:28:54,test_user@gmail.com,Tomo21 Sushi,,"Japanese, Sushi",Takeout,2,3.75,$$ ($11-$30/person),"Full Meal, Small meal (Appetizer-like portion)",,"Brunch, Lunch"
3/1/2024 17:29:58,test_user@gmail.com,Boqueria Soho,,Spanish,Meal with a Friend,1,3.25,$$$ ($31-$60/person),"Full Meal, Small meal (Appetizer-like portion)",,"Brunch, Lunch"
3/1/2024 17:35:43,test_user@gmail.com,Tsuru Ton Tan(Union Square),,"Japanese, Ramen",Regular,4,3.5,$$ ($11-$30/person),Full Meal,,"Lunch, Dinner"
3/1/2024 17:37:51,test_user@gmail.com,Ippudo NY,,"Japanese, Ramen",Meal with a Friend,3,3.25,$$ ($11-$30/person),Full Meal,,"Lunch, Dinner"
